image_Name,object_1,is close to,is far from,is_smaller_than,is_greater_than,overlaps,doesnt_overlap,is_in_the_right_of,is_in_the_left_of,is_in_the_bottom_of,is_in_the_top_of
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,bench,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,bench,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,bench,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,elephant,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,bench,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,bench,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,bench,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,umbrella,na,na,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,bench,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,elephant,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,bench,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,bench,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,na,na,elephant,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,umbrella,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,umbrella,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,bench,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,umbrella,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,bench,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,bench,na,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,na,na,na,umbrella,na,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,na,umbrella,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,na,na,na,elephant,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,umbrella,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,na,na,elephant,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,na,umbrella,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,na,na,na,elephant,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,bench,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,bench,na,na,na,na,elephant,na,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,na,elephant,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,na,umbrella,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,na,na,na,elephant,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,na,umbrella,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,na,na,na,elephant,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,elephant,na,na,na,na,na,umbrella,na,na,na,na
Elefantes%2C_Ayutthaya%2C_Tailandia%2C_2013-08-23%2C_DD_10.jpg,umbrella,na,na,na,na,na,elephant,na,na,na,na
